Question,Answer
여러 가이드를 비교해 보고 싶어요,"검색 결과에서 여러 가이드의 프로필을 확인하며 활동 지역, 구사 언어, 평점, 리뷰, 요금 등을 비교한 뒤 직접 선택하실 수 있습니다."
검색 결과에서 어떤 가이드가 먼저 나오나요?,"검색 지역과 일치하는 가이드가 우선 표시되며, 그중에서도 평점이 높은 가이드가 먼저 나옵니다."
영어 가능한 가이드를 찾고 싶어요,"가이드 프로필에 구사 언어가 표시되므로 프로필에서 영어 가능 여부를 확인하실 수 있습니다. 가이드는 여러 언어를 구사할 수 있습니다."
부산 가이드를 찾으려면 어떻게 하나요?,"메인 페이지 검색바에서 지역에 부산을 입력하고 날짜와 인원을 선택해 검색하시면 부산 지역 가이드가 우선 표시됩니다."
검색 결과가 없으면 어떻게 하나요?,"지역이나 날짜, 인원 등 검색 조건을 바꿔 다시 검색해 보세요. 계속 어려움이 있으면 고객센터(support@guidematch.com)로 문의해 주세요."
날짜는 하루만 선택할 수 있나요?,"검색 시 시작일부터 종료일까지 기간을 선택할 수 있습니다. 원하는 일정에 맞게 날짜를 선택해 검색해 보세요."
가이드 매칭은 자동인가요 수동인가요?,"자동 배정이 아니라 여행자가 직접 가이드를 비교하고 선택하는 방식입니다. 검색 후 마음에 드는 가이드에게 예약을 요청하세요."
마음에 드는 가이드를 어떻게 선택하나요?,"가이드 프로필에서 활동 지역, 구사 언어, 평점, 리뷰, 인증 배지, 요금 등을 확인한 뒤 프로필에서 날짜와 인원을 선택해 예약을 요청하시면 됩니다."
검색 조건을 바꿔서 다시 검색할 수 있나요?,"네, 메인 페이지 검색바에서 지역, 날짜, 인원을 변경해 언제든 다시 검색하실 수 있습니다."
가이드 검색에 로그인이 필요한가요?,"메인 페이지 검색바에서 가이드를 검색해 볼 수 있습니다. 다만 찜하기, 예약, 결제 등은 로그인이 필요합니다."
특정 언어를 쓰는 가이드만 모아볼 수 있나요?,"각 가이드 프로필에 구사 언어가 표시되므로 검색 결과에서 프로필을 확인해 원하는 언어를 쓰는 가이드를 찾으실 수 있습니다."
검색은 어디에서 하나요?,"메인 페이지 상단의 검색바에서 지역, 날짜, 인원을 입력해 가이드를 검색하실 수 있습니다."
평점은 검색 결과에 표시되나요?,"검색 결과는 평점 높은 순으로 정렬되며, 가이드 프로필에서 5점 만점 평점(소수점 1자리)과 리뷰 수를 확인하실 수 있습니다."
인기 가이드를 찾는 방법이 있나요?,"검색 결과가 평점 높은 순으로 정렬되므로 상단의 가이드부터 확인해 보세요. 평점과 리뷰 수, 인증 배지를 함께 참고하시면 좋습니다."
검색한 지역과 다른 지역 가이드도 나오나요?,"검색 결과는 검색한 지역과 일치하는 가이드가 우선 표시됩니다. 다른 지역의 가이드를 보고 싶다면 지역을 변경해 다시 검색해 보세요."
가이드 추천을 받을 수 있나요?,"가이드매치는 자동 배정이 아닌 여행자가 직접 선택하는 방식입니다. 검색 결과의 평점순 정렬과 메인 페이지의 추천 투어를 참고해 보세요."
일정에 맞는 가이드를 찾으려면 어떻게 하나요?,"검색바에서 여행 시작일과 종료일을 선택해 검색하시면 됩니다. 급한 일정이라면 예약 요청 후 메시지로 가이드에게 바로 문의하시는 것을 권장합니다."
두 명이서 여행하는데 가이드 검색이 가능한가요?,"네, 검색바에서 성인 2명으로 인원을 입력해 검색하시면 됩니다. 투어 최대 인원은 기본 4명입니다."
아이 둘과 함께 가는데 검색 시 어떻게 입력하나요?,"검색바에서 성인 인원과 함께 어린이 2명을 입력해 검색하시면 됩니다. 성인은 1명 이상 포함되어야 합니다."
검색 결과 정렬 기준을 알려주세요,"검색 지역과 일치하는 가이드가 우선 표시되고, 평점이 높은 순으로 정렬됩니다."
가이드 프로필에는 어떤 정보가 나오나요?,"프로필 사진, 이름, 활동 지역, 구사 언어, 평점(5점 만점), 리뷰 수, 인증 배지, 기본 요금, 자기소개(한국어/영어), 여행자 리뷰 목록이 표시됩니다."
인증 배지는 무엇인가요?,"인증 배지는 운영팀의 검증을 거친 가이드에게 부여되는 표시입니다. 가이드 프로필에서 배지 여부를 확인하실 수 있습니다."
인증 배지는 어떻게 받은 건가요?,"인증 배지는 가이드매치 운영팀의 검증 절차를 거친 가이드에게 부여됩니다."
배지가 있는 가이드는 믿을 수 있나요?,"인증 배지는 운영팀 검증을 거친 가이드에게만 부여되므로 신뢰의 참고 기준이 됩니다. 평점과 실제 이용자 리뷰도 함께 확인해 보세요."
가이드 평점은 몇 점 만점인가요?,"가이드 평점은 5점 만점이며 소수점 1자리까지 표시됩니다."
평점은 어떻게 계산되나요?,"투어를 완료한 여행자가 남긴 별점(1~5점)이 가이드 평점에 자동으로 반영되며, 5점 만점에 소수점 1자리로 표시됩니다."
가이드 리뷰는 진짜인가요?,"네, 리뷰는 실제로 투어를 완료한 예약자만 작성할 수 있으므로 모두 실제 이용자의 후기입니다."
가이드의 구사 언어는 어디서 확인하나요?,"가이드 프로필에서 구사 언어를 확인하실 수 있습니다. 가이드는 여러 언어를 구사할 수 있으며 복수로 표시됩니다."
가이드 요금은 어디서 보나요?,"가이드 프로필에서 기본 요금을 확인하실 수 있습니다. 요금은 시간제 또는 일당 방식으로 표시됩니다."
가이드 요금은 시간제인가요 일당제인가요?,"가이드마다 다르며 프로필에 시간제 또는 일당 기준의 기본 요금이 표시됩니다."
가이드 자기소개는 영어로도 볼 수 있나요?,"네, 가이드 자기소개는 한국어와 영어로 제공됩니다."
가이드의 활동 지역은 어디서 확인하나요?,"가이드 프로필에서 활동 지역을 확인하실 수 있습니다. 검색 시 해당 지역과 일치하는 가이드가 우선 표시됩니다."
가이드가 받은 리뷰를 미리 볼 수 있나요?,"네, 가이드 프로필에서 여행자들이 남긴 리뷰 목록과 평점, 리뷰 수를 확인하실 수 있습니다."
이상한 가이드를 신고하고 싶어요,"문제가 있는 가이드는 고객센터의 1:1 문의로 신고를 접수해 주세요. 영업일 기준 1~2일 내에 이메일로 답변을 드립니다."
가이드 신고는 어떻게 하나요?,"고객센터의 1:1 문의 폼을 통해 신고를 접수하실 수 있습니다. 긴급한 안전 문제라면 즉시 고객센터로 연락해 주세요."
가이드 검증은 누가 하나요?,"가이드매치 운영팀이 가이드를 검증하며, 검증을 거친 가이드에게 인증 배지가 부여됩니다."
가이드의 리뷰 수는 어디에 표시되나요?,"가이드 프로필에서 평점과 함께 리뷰 수를 확인하실 수 있습니다. 투어 상세 페이지의 가이드 정보에도 평점과 리뷰 수가 표시됩니다."
가이드를 믿어도 될지 어떻게 판단하나요?,"운영팀 검증을 거친 인증 배지, 5점 만점 평점, 그리고 실제 투어를 완료한 여행자만 쓸 수 있는 리뷰를 함께 확인해 보세요."
가이드 연락처를 미리 받을 수 있나요?,"가이드와의 연락은 사이트 내 1:1 메시지 기능을 이용해 주세요. 플랫폼 외부 직거래는 금지되어 있으며 피해 보호를 받을 수 없습니다."
가이드 프로필에서 예약도 바로 할 수 있나요?,"네, 가이드 프로필에서 날짜와 인원을 선택해 바로 예약을 요청하실 수 있습니다."
가이드 평점이 소수점으로 표시되는 이유는 뭔가요?,"가이드 평점은 여행자 리뷰의 별점이 자동 반영되어 5점 만점에 소수점 1자리까지 표시됩니다."
모든 가이드가 인증을 받은 건가요?,"인증 배지는 운영팀 검증을 거친 가이드에게 부여됩니다. 프로필에서 배지 여부를 확인하실 수 있습니다."
가이드가 여러 언어를 하는 경우도 있나요?,"네, 가이드는 여러 언어를 구사할 수 있으며 프로필에 구사 언어가 복수로 표시됩니다."
가이드 프로필은 한국어와 영어 둘 다 제공되나요?,"가이드 자기소개는 한국어와 영어로 제공됩니다. 사이트 자체도 한국어와 영어 간 언어 전환이 가능합니다."
가이드에 대한 불만이 있으면 어디에 말하나요?,"고객센터 1:1 문의로 접수해 주세요. 투어 중 추가 비용 요구나 일정 무단 변경 같은 문제도 고객센터에서 처리해 드립니다."
투어 상세 페이지에는 어떤 정보가 있나요?,"투어 제목, 설명, 지역, 소요 시간, 가격(원화), 포함 사항, 집합 장소, 사진, 최대 인원, 가이드 정보(이름·평점·리뷰 수)를 확인하실 수 있습니다."
투어 가격은 어떤 통화로 표시되나요?,"투어 가격은 원화로 표시됩니다. 해외 결제 시 PayPal을 이용하면 미국 달러로 결제되며 환산 환율이 적용됩니다."
투어 소요 시간은 어디서 확인하나요?,"투어 상세 페이지에서 시간 단위로 표시된 소요 시간을 확인하실 수 있습니다."
투어에 포함된 사항은 어디서 보나요?,"투어 상세 페이지의 포함 사항 항목에서 확인하실 수 있습니다. 불분명한 부분은 가이드에게 메시지로 문의해 보세요."
집합 장소는 어디서 확인할 수 있나요?,"투어 상세 페이지에서 집합 장소를 확인하실 수 있습니다."
투어 최대 인원은 몇 명인가요?,"투어 최대 인원은 기본 4명입니다. 투어 상세 페이지에서 해당 투어의 최대 인원을 확인하실 수 있습니다."
5명이 함께 투어할 수 있나요?,"투어 최대 인원은 기본 4명입니다. 인원이 더 많은 경우 가이드에게 메시지로 먼저 문의해 보시는 것을 권장합니다."
찜하기는 어떻게 하나요?,"투어 카드의 하트 아이콘을 누르면 찜할 수 있습니다. 찜하기 기능은 로그인이 필요합니다."
찜한 투어는 어떻게 취소하나요?,"찜한 투어의 하트 아이콘을 다시 누르면 찜이 해제됩니다."
찜하기에 로그인이 필요한가요?,"네, 찜하기 기능을 이용하려면 로그인이 필요합니다."
하트 아이콘은 무슨 기능인가요?,"투어 카드의 하트 아이콘은 찜하기 기능입니다. 눌러서 찜하거나 다시 눌러 해제할 수 있으며 로그인이 필요합니다."
추천 투어는 무엇인가요?,"메인 페이지에 노출되는 투어로, 어떤 투어를 고를지 고민될 때 참고하시면 좋습니다."
투어 사진은 여러 장 볼 수 있나요?,"네, 투어 상세 페이지에서 여러 장의 사진을 확인하실 수 있습니다."
투어 페이지에서 가이드 정보도 볼 수 있나요?,"네, 투어 상세 페이지에서 가이드의 이름, 평점, 리뷰 수를 확인하실 수 있습니다."
투어 설명은 어디에 나와 있나요?,"투어 상세 페이지에서 제목과 함께 자세한 설명을 확인하실 수 있습니다."
마음에 드는 투어를 저장해 두고 싶어요,"투어 카드의 하트 아이콘을 눌러 찜해 두세요. 찜하기는 로그인 후 이용 가능하며 하트를 다시 누르면 해제됩니다."
찜 목록은 어디서 확인하나요?,"투어 카드의 하트 아이콘으로 찜한 투어를 관리할 수 있습니다. 찜 목록 확인에 어려움이 있으시면 고객센터(support@guidematch.com)로 문의해 주세요."
투어 가격에 무엇이 포함되어 있나요?,"투어 상세 페이지의 포함 사항에서 확인하실 수 있습니다. 추가로 궁금한 점은 가이드에게 메시지로 문의해 보세요."
투어 시간은 시간 단위로 표시되나요?,"네, 투어 소요 시간은 시간 단위로 투어 상세 페이지에 표시됩니다."
투어를 예약하려면 어디를 눌러야 하나요?,"투어 상세 페이지 또는 가이드 프로필에서 날짜와 인원을 선택해 예약을 요청하시면 됩니다."
어린이도 투어에 참여할 수 있나요?,"검색 시 어린이 인원을 포함해 입력할 수 있습니다. 투어별 어린이 참여 조건은 가이드에게 메시지로 미리 문의해 보시는 것을 권장합니다."
투어 상품과 가이드 프로필의 차이는 뭔가요?,"가이드 프로필은 가이드의 소개·평점·요금 등을 보여주고, 투어 상세는 특정 투어의 일정·가격·포함 사항 등을 보여줍니다. 두 곳 모두에서 날짜와 인원을 선택해 예약을 요청할 수 있습니다."
식사가 포함된 투어인지 어떻게 아나요?,"투어 상세 페이지의 포함 사항에서 확인하실 수 있습니다. 명확하지 않다면 가이드에게 메시지로 문의해 주세요."
투어 집합 장소까지는 어떻게 가나요?,"집합 장소는 투어 상세 페이지에서 확인하실 수 있습니다. 이동 방법 등 자세한 안내는 가이드에게 메시지로 문의해 보세요."
찜을 눌렀는데 반응이 없어요,"찜하기 기능은 로그인이 필요합니다. 로그인 상태를 확인해 주시고, 문제가 계속되면 고객센터(support@guidematch.com)로 문의해 주세요."
예약은 어떻게 하나요?,"가이드 프로필 또는 투어 상세 페이지에서 날짜와 인원을 선택해 예약을 요청하세요. 가이드가 수락하면 확정 상태가 되고 결제를 진행하시면 됩니다."
예약 절차를 알려주세요,"예약 요청 후 수락 대기 상태가 되고, 가이드가 수락하면 확정 상태로 바뀝니다. 이후 결제를 완료하면 결제 완료 상태가 되고 투어 종료 후 완료로 처리됩니다."
예약 요청 후에는 어떻게 되나요?,"예약 요청을 보내면 수락 대기(pending) 상태가 되며, 가이드가 수락하면 확정(confirmed) 상태로 변경됩니다. 수락 후 24시간 안에 결제해 주세요."
수락 대기 상태는 무슨 뜻인가요?,"예약 요청을 보낸 뒤 가이드의 수락을 기다리는 상태입니다. 가이드가 수락하면 확정 상태로 바뀌고 결제를 진행할 수 있습니다."
예약 상태 종류를 알려주세요,"수락 대기(pending), 확정(confirmed), 결제 완료(paid), 완료(completed)가 있으며 가이드가 거절하면 거절(declined), 여행자가 취소하면 취소(cancelled)로 표시됩니다."
확정 상태는 무슨 의미인가요?,"가이드가 예약 요청을 수락한 상태입니다. 확정 후 체크아웃 페이지에서 결제를 진행하시면 되며, 24시간 안에 결제하지 않으면 예약이 자동 취소됩니다."
결제 완료 상태는 언제 되나요?,"가이드 수락 후 체크아웃 페이지에서 결제를 성공적으로 마치면 예약 상태가 결제 완료(paid)로 변경됩니다."
완료 상태는 언제 표시되나요?,"투어가 종료된 후 예약 상태가 완료(completed)로 표시됩니다. 완료된 예약에 대해서는 리뷰를 작성하실 수 있습니다."
가이드가 예약을 거절하면 어떻게 되나요?,"예약 상태가 거절(declined)로 표시됩니다. 다른 가이드를 검색해 새로 예약을 요청하실 수 있습니다."
예약이 거절되면 다른 가이드를 예약할 수 있나요?,"네, 거절된 경우 다른 가이드를 검색해 자유롭게 새 예약을 요청하실 수 있습니다."
가이드가 수락하면 바로 결제해야 하나요?,"가이드 수락 후 24시간 안에 결제해야 합니다. 24시간이 지나면 예약이 자동으로 취소됩니다."
결제를 안 하면 예약은 어떻게 되나요?,"가이드 수락 후 24시간 안에 결제하지 않으면 예약이 자동으로 취소됩니다."
예약이 자동으로 취소되는 경우가 있나요?,"네, 가이드가 수락한 뒤 24시간 안에 결제하지 않으면 예약이 자동 취소됩니다."
예약 내역은 어디서 확인하나요?,"여행자 메뉴의 예약 내역 페이지에서 확인하실 수 있습니다. 예정된 투어, 지난 투어, 취소된 투어 탭으로 나뉘어 있습니다."
예정된 투어는 어디서 보나요?,"예약 내역 페이지의 예정된 투어 탭에서 확인하실 수 있습니다. 가이드 정보, 일정, 인원, 금액, 상태가 함께 표시됩니다."
지난 투어 기록을 보고 싶어요,"예약 내역 페이지의 지난 투어 탭에서 확인하실 수 있습니다. 완료된 투어의 영수증은 이용 내역(아카이브) 페이지에서도 확인 가능합니다."
취소한 예약도 확인할 수 있나요?,"네, 예약 내역 페이지의 취소된 투어 탭에서 취소한 예약을 확인하실 수 있습니다."
예약 내역에서 어떤 정보를 볼 수 있나요?,"예약별로 가이드 정보, 일정, 인원, 금액, 상태를 확인하실 수 있습니다."
지난 예약을 목록에서 지울 수 있나요?,"네, 지난 예약 내역은 목록에서 숨기기(삭제)할 수 있습니다. 다만 기록 자체가 사라지는 것은 아니고 내 목록에서만 숨겨집니다."
예약 내역을 삭제하면 기록이 완전히 사라지나요?,"아니요, 목록에서 숨겨질 뿐 기록 자체가 사라지는 것은 아닙니다."
일정이 겹치는 예약을 하면 어떻게 되나요?,"기존 예약과 일정이 겹치면 경고가 표시되며, 내용을 확인한 후 그대로 진행할 수 있습니다."
같은 날짜에 두 개 예약이 가능한가요?,"기존 예약과 일정이 겹치는 경우 경고가 표시되지만, 확인 후 진행할 수 있습니다."
예약 요청은 취소할 수 있나요?,"네, 예약 내역 페이지에서 취소하실 수 있습니다. 결제 후 취소 시에는 취소 시점에 따라 환불 규정이 적용됩니다."
당일 예약도 가능한가요?,"예약은 가이드가 수락해야 확정되므로, 당일이나 임박한 일정은 예약 요청 후 메시지로 가이드에게 바로 문의하시는 것을 권장합니다."
내일 투어인데 지금 예약해도 되나요?,"가능하지만 가이드가 수락해야 확정됩니다. 급한 일정이므로 예약 요청 후 메시지로 가이드에게 바로 문의해 보세요."
급하게 예약해야 하는데 어떻게 하나요?,"예약 요청을 보낸 뒤 사이트 내 메시지로 가이드에게 바로 문의하시는 것을 권장합니다. 가이드가 수락해야 예약이 확정됩니다."
가이드가 수락했는지 어떻게 알 수 있나요?,"예약 내역 페이지에서 예약 상태를 확인하시는 것이 가장 확실합니다. 수락되면 상태가 확정(confirmed)으로 표시됩니다."
예약 수락까지 얼마나 걸리나요?,"수락 시점은 가이드마다 다릅니다. 급한 일정이라면 예약 요청 후 메시지로 가이드에게 직접 문의해 보세요."
예약할 때 인원은 어떻게 선택하나요?,"가이드 프로필이나 투어 페이지에서 날짜와 함께 인원을 선택해 예약을 요청합니다. 투어 최대 인원은 기본 4명입니다."
예약 후 인원을 변경할 수 있나요?,"인원 등 요청 사항 변경은 가이드와 사이트 내 메시지로 합의하시고 기록을 남기시는 것을 권장합니다. 처리에 어려움이 있으면 고객센터로 문의해 주세요."
예약 날짜를 변경하고 싶어요,"일정 변경은 가이드와 사이트 내 메시지로 합의하시고 기록을 남기시는 것을 권장합니다."
예약 요청을 보냈는데 가이드가 응답이 없어요,"사이트 내 메시지로 가이드에게 직접 문의해 보세요. 계속 연락이 닿지 않으면 고객센터(support@guidematch.com)로 연락해 주세요."
pending 상태가 무슨 뜻인가요?,"pending은 수락 대기 상태로 예약 요청 후 가이드의 수락을 기다리고 있다는 의미입니다."
confirmed는 무슨 의미인가요?,"confirmed는 확정 상태로 가이드가 예약을 수락했다는 의미입니다. 이후 24시간 안에 결제를 완료해 주세요."
예약 상태가 cancelled로 바뀌었어요,"cancelled는 취소 상태입니다. 여행자가 직접 취소했거나 가이드 수락 후 24시간 안에 결제하지 않아 자동 취소된 경우 표시됩니다."
예약이 확정된 후 해야 할 일은 무엇인가요?,"체크아웃 페이지에서 24시간 안에 결제를 완료해 주세요. 기한 내 결제하지 않으면 예약이 자동 취소됩니다."
예약 금액은 어디서 확인하나요?,"예약 내역 페이지에서 예약별 금액을 확인하실 수 있습니다. 투어 가격은 투어 상세 페이지에서도 원화로 표시됩니다."
한 번에 여러 투어를 예약할 수 있나요?,"네, 여러 예약을 요청할 수 있습니다. 다만 기존 예약과 일정이 겹치면 경고가 표시되며 확인 후 진행할 수 있습니다."
예약 확정 알림이 오나요?,"알림 설정 메뉴는 있으나 예약 진행 상황은 예약 내역 페이지에서 직접 확인하시는 것이 가장 확실합니다."
투어가 끝나면 예약 상태는 어떻게 되나요?,"투어 종료 후 예약 상태가 완료(completed)로 변경되며 이때부터 리뷰를 작성하실 수 있습니다."
예약 요청 시 가이드에게 메시지를 남길 수 있나요?,"네, 사이트 내 1:1 메시지 기능으로 가이드와 대화할 수 있습니다. 요청 사항은 메시지로 남겨 기록을 보관하시는 것을 권장합니다."
예약을 요청하면 바로 결제되나요?,"아니요, 결제는 가이드가 예약을 수락한 뒤(확정 상태) 체크아웃 페이지에서 진행합니다."
가족 4명 예약이 가능한가요?,"네, 투어 최대 인원은 기본 4명이므로 4명까지 예약 가능합니다. 검색과 예약 시 인원을 입력해 주세요."
예약 내역의 탭은 어떻게 나뉘어 있나요?,"예약 내역 페이지는 예정된 투어, 지난 투어, 취소된 투어 탭으로 나뉘어 있습니다."
숨긴 예약 내역을 다시 볼 수 있나요?,"숨기기를 해도 기록 자체가 사라지는 것은 아닙니다. 숨긴 내역 복원이 필요하시면 고객센터(support@guidematch.com)로 문의해 주세요."
결제는 언제 하나요?,"가이드가 예약을 수락해 확정 상태가 된 뒤 체크아웃 페이지에서 결제합니다. 수락 후 24시간 안에 결제하지 않으면 예약이 자동 취소됩니다."
결제는 어떻게 하나요?,"예약이 확정되면 체크아웃 페이지에서 토스페이먼츠(국내 카드·간편결제) 또는 PayPal(해외 결제)로 결제하실 수 있습니다."
어떤 결제 수단을 사용할 수 있나요?,"토스페이먼츠를 통한 국내 카드·간편결제와 PayPal을 통한 해외 결제를 지원합니다. PayPal은 미국 달러로 결제되며 환산 환율이 적용됩니다."
신용카드로 결제할 수 있나요?,"네, 토스페이먼츠를 통해 국내 카드로 결제하실 수 있습니다."
간편결제가 되나요?,"네, 토스페이먼츠를 통한 간편결제를 지원합니다."
해외 카드로 결제할 수 있나요?,"해외 결제는 PayPal을 통해 가능합니다. 미국 달러로 결제되며 환산 환율이 적용됩니다."
PayPal 결제는 어떤 통화로 되나요?,"PayPal 결제는 미국 달러로 진행되며 환산 환율이 적용됩니다."
외국인인데 결제는 어떻게 하나요?,"해외 결제는 PayPal을 이용하시면 됩니다. 미국 달러로 결제되며 환산 환율이 적용됩니다."
무통장 입금이 가능한가요?,"아니요, 무통장 입금은 금지되어 있습니다. 반드시 플랫폼의 안전 결제 시스템(토스페이먼츠 또는 PayPal)으로만 결제해 주세요."
가이드에게 직접 현금을 줘도 되나요?,"아니요, 가이드와의 직접 거래는 금지되어 있으며 직거래 시 피해 보호를 받을 수 없습니다. 반드시 플랫폼 안전 결제로 진행해 주세요."
가이드가 계좌이체를 요구하면 어떻게 하나요?,"직거래는 금지되어 있으므로 응하지 마시고 즉시 고객센터(support@guidematch.com)로 신고해 주세요. 직거래 시 피해 보호를 받을 수 없습니다."
직거래를 하면 안 되는 이유는 뭔가요?,"플랫폼 안전 결제를 거치지 않은 직거래는 문제가 생겨도 피해 보호를 받을 수 없기 때문입니다. 무통장 입금과 직접 거래는 금지되어 있습니다."
결제가 완료되면 어떻게 확인하나요?,"결제가 성공하면 예약 상태가 결제 완료(paid)로 변경되며 예약 내역 페이지에서 확인하실 수 있습니다."
결제에 실패했어요,"결제에 실패한 경우 다시 시도하실 수 있습니다. 문제가 계속되면 고객센터(support@guidematch.com)로 문의해 주세요."
결제가 안 되는데 어떻게 하나요?,"결제 실패 시 다시 시도해 보세요. 반복해서 실패한다면 고객센터(support@guidematch.com)로 문의해 주시기 바랍니다."
결제 후 예약 상태는 어떻게 바뀌나요?,"결제가 성공하면 예약 상태가 확정(confirmed)에서 결제 완료(paid)로 변경됩니다."
영수증은 어디서 받을 수 있나요?,"이용 내역(아카이브) 페이지에서 완료된 투어 내역과 영수증을 확인하고 다운로드하실 수 있습니다."
이용 내역은 어디서 확인하나요?,"이용 내역(아카이브) 페이지에서 완료된 투어 내역과 영수증을 확인하실 수 있습니다."
영수증을 다운로드할 수 있나요?,"네, 이용 내역(아카이브) 페이지에서 영수증을 확인하고 다운로드하실 수 있습니다."
