Question,Answer
가이드 대시보드는 어디서 보나요?,"가입 후 가이드 계정으로 로그인하면 대시보드 메뉴에서 바로 확인하실 수 있습니다."
대시보드에서는 무엇을 확인할 수 있나요?,"확정 수익, 예약 수, 대기 중 요청 통계와 함께 새 예약 요청 목록, 다가오는 투어 일정을 확인할 수 있습니다."
가이드 메뉴 구성이 어떻게 되나요?,"대시보드, 일정 관리, 가이드 프로필, 투어 관리, 가이드 정책 페이지 메뉴로 구성되어 있습니다."
가입 승인 심사가 따로 있나요?,"별도 승인 절차 없이 가입 즉시 가이드 대시보드를 이용할 수 있습니다. 다만 인증 배지는 운영팀 검증을 거쳐 부여됩니다."
약관 동의는 필수인가요?,"네, 회원가입 시 약관 동의는 필수입니다."
외국인도 가이드로 가입할 수 있나요?,"외국인 가입 가능 여부는 현재 별도로 안내되어 있지 않습니다. 자세한 사항은 고객센터(support@guidematch.com)로 문의해 주세요."
가입할 때 비용이 전혀 안 드는 게 맞나요?,"네, 맞습니다. 가입비와 등록비가 없으며 수수료는 예약이 성사된 경우에만 발생합니다."
가이드 시작하는 데 준비물이 있나요?,"가입에는 이름, 이메일, 비밀번호가 필요하며 신분증 사본, 계좌정보, 자격증명 등이 필수 수집 항목입니다. 가입 후 프로필과 투어를 등록하면 활동을 시작할 수 있습니다."
푸터의 가이드 지원하기 버튼은 무슨 기능인가요?,"가이드 회원가입으로 연결되는 경로입니다. 해당 버튼을 통해 가이드 역할로 가입하실 수 있습니다."
프로필은 어디서 수정하나요?,"가이드 메뉴의 가이드 프로필에서 언제든지 수정하실 수 있습니다."
프로필에 어떤 항목을 입력하나요?,"프로필 사진, 이름, 자기소개, 주요 활동 지역, 구사 언어, 기본 요금과 요금 기준(시간제 또는 일당)을 입력할 수 있습니다."
프로필 사진은 어떻게 등록하나요?,"가이드 프로필에서 사진 파일을 직접 업로드하거나 이미지 URL을 입력해 등록하실 수 있습니다."
프로필 사진을 URL로 넣을 수 있나요?,"네, 사진 파일 업로드 외에 이미지 URL 입력 방식도 지원됩니다."
자기소개는 어떻게 쓰나요?,"가이드 프로필에서 자기소개를 한국어로 입력하시면 됩니다. 입력한 자기소개는 영어 번역본이 자동 저장되어 외국인 여행자에게 영어로 노출됩니다."
자기소개를 한국어로 쓰면 외국인도 볼 수 있나요?,"네, 한국어로 입력하면 영어 번역본이 자동 저장되어 외국인 여행자에게는 영어로 노출됩니다."
주요 활동 지역은 어떻게 설정하나요?,"가이드 프로필에서 서울, 부산, 제주 등 주로 활동하는 지역을 입력하시면 됩니다. 검색 결과가 지역 일치 기준으로 노출되므로 정확하게 입력해 주세요."
활동 지역을 여러 곳으로 설정할 수 있나요?,"네, 주요 활동 지역은 서울·부산·제주처럼 여러 지역을 등록할 수 있습니다."
구사 언어는 여러 개 등록할 수 있나요?,"네, 구사 언어는 복수로 등록할 수 있습니다."
기본 요금은 무엇인가요?,"프로필에 표시되는 가이드의 기준 요금으로 원 단위 숫자로 입력합니다. 시간제 또는 일당 중 요금 기준을 함께 선택하며 투어별 가격은 별도로 설정할 수 있습니다."
요금 기준은 어떻게 선택하나요?,"기본 요금 입력 시 시간제와 일당 중 하나를 요금 기준으로 선택하실 수 있습니다."
기본 요금과 투어 가격은 다른가요?,"네, 프로필의 기본 요금과 별개로 투어 가격은 투어마다 자유롭게 설정할 수 있습니다."
프로필 평점은 어떻게 계산되나요?,"여행자가 남긴 리뷰를 바탕으로 자동 계산되어 프로필에 표시됩니다. 평점은 5점 만점이며 리뷰 수와 함께 집계됩니다."
프로필 평점 표기는 어떻게 되나요?,"평점은 5점 만점에 소수점 1자리까지 표시되며 리뷰 수와 함께 프로필에 노출됩니다."
리뷰 수도 프로필에 표시되나요?,"네, 여행자 리뷰를 바탕으로 평점과 리뷰 수가 자동 집계되어 프로필에 표시됩니다."
인증 배지는 어떻게 받나요?,"인증 배지는 신분증 실명 확인, 연락처 인증, 자격·경력 증빙 1종 이상, 본인 프로필 사진의 네 가지를 모두 충족하면 운영팀 검증을 거쳐 부여됩니다. 전용 업로드 화면은 아직 없으므로 관련 서류는 고객센터(support@guidematch.com)로 제출해 주세요."
verified 마크가 뭔가요?,"운영팀 검증을 거친 가이드에게 부여되는 인증 배지입니다. 인증 관련 서류는 고객센터를 통해 제출하실 수 있습니다."
자격증은 어디에 업로드하나요?,"자격증 업로드 전용 화면은 아직 제공되지 않습니다. 인증 관련 서류는 고객센터(support@guidematch.com)를 통해 제출해 주세요."
자격증 업로드 화면이 안 보여요,"자격증 업로드 전용 화면은 현재 준비되어 있지 않습니다. 인증 관련 서류는 고객센터(support@guidematch.com)를 통해 제출해 주시면 됩니다."
프로필을 잘 꾸미면 예약에 도움이 되나요?,"네, 검색 결과는 지역 일치와 평점순으로 정렬되므로 활동 지역을 정확히 입력하고 평점을 잘 관리하는 것이 노출과 예약에 중요합니다."
프로필 이름을 변경할 수 있나요?,"네, 가이드 프로필에서 이름을 수정하실 수 있습니다."
자기소개 영어 번역은 자동인가요?,"네, 자기소개를 한국어로 입력하면 영어 번역본이 자동으로 저장되어 외국인 여행자에게 영어로 노출됩니다."
프로필 번역본을 직접 수정할 수 있나요?,"영어 번역본 직접 수정 기능은 현재 지원되지 않습니다. 번역 관련 문의는 고객센터(support@guidematch.com)로 연락해 주세요."
프로필 사진이 꼭 필요한가요?,"프로필 사진은 업로드 또는 URL 방식으로 등록할 수 있습니다. 여행자가 가이드를 선택할 때 참고하는 정보이므로 등록을 권장드립니다."
평점을 직접 수정할 수 있나요?,"아니요, 평점은 여행자 리뷰를 바탕으로 자동 계산되며 가이드가 직접 수정할 수 없습니다."
활동 지역을 바꾸면 검색에 영향이 있나요?,"네, 검색 결과는 지역 일치를 기준으로 노출되므로 활동 지역 변경은 검색 노출에 영향을 줍니다."
기본 요금 입력 단위는 무엇인가요?,"기본 요금은 원 단위 숫자로 입력하며 시간제 또는 일당 중 요금 기준을 선택합니다."
시간제와 일당 중 무엇을 선택해야 하나요?,"두 가지 요금 기준 중 본인의 투어 운영 방식에 맞는 것을 자유롭게 선택하시면 됩니다."
프로필 수정은 언제든 가능한가요?,"네, 가이드 프로필 메뉴에서 언제든지 수정하실 수 있습니다. 투어 정보와 마찬가지로 항상 최신 상태로 유지해 주세요."
인증 서류는 어떻게 제출하나요?,"현재 전용 업로드 화면이 없어 인증 관련 서류는 고객센터(support@guidematch.com)를 통해 제출하시면 됩니다. 운영팀 검증을 거쳐 인증 배지가 부여됩니다."
투어는 어떻게 등록하나요?,"투어 관리 메뉴에서 새 투어 등록을 선택해 제목, 상세 설명, 지역, 소요 시간, 가격, 최대 인원, 사진, 포함 항목 등을 입력하면 됩니다."
새 투어 등록 메뉴는 어디에 있나요?,"가이드 메뉴의 투어 관리에서 새 투어 등록 버튼을 통해 등록하실 수 있습니다."
투어 등록 시 입력 항목은 무엇인가요?,"제목, 상세 설명, 지역, 소요 시간(시간 단위), 가격(원화 정수), 최대 인원(기본 4명), 사진(여러 장), 포함 항목을 입력하며 집합 장소는 선택 항목입니다."
투어 제목은 어떻게 쓰는 게 좋나요?,"투어 내용을 잘 나타내는 제목을 자유롭게 입력하시면 됩니다. 한국어로 입력하면 영어 번역본이 자동 생성되어 외국인 여행자에게도 노출됩니다."
투어 가격은 어떻게 설정하나요?,"투어 등록 시 원화 정수로 자유롭게 설정하실 수 있습니다. 프로필 기본 요금과는 별개로 투어마다 다른 가격을 정할 수 있습니다."
투어 가격에 제한이 있나요?,"가격은 원화 정수로 입력하며 금액은 가이드가 자유롭게 설정할 수 있습니다."
최대 인원은 몇 명까지 설정 가능한가요?,"최대 인원은 투어 등록 시 직접 설정할 수 있으며 기본값은 4명입니다."
투어 사진은 몇 장까지 올릴 수 있나요?,"투어 사진은 여러 장 업로드할 수 있습니다."
소요 시간은 어떻게 입력하나요?,"투어 소요 시간은 시간 단위로 입력합니다."
집합 장소 입력은 필수인가요?,"아니요, 집합 장소는 선택 입력 항목입니다. 다만 여행자와의 혼선을 줄이기 위해 입력해 두시는 것이 좋습니다."
포함 항목에는 무엇을 쓰나요?,"투어 가격에 포함되는 내용을 입력하는 항목입니다. 한국어로 입력하면 영어 번역본이 자동 생성됩니다."
투어를 여러 개 등록할 수 있나요?,"네, 투어 관리에서 여러 개의 투어를 등록하고 관리하실 수 있습니다."
등록한 투어를 수정하려면 어떻게 하나요?,"투어 관리에서 해당 투어를 선택한 뒤 수정 메뉴를 통해 내용을 변경하실 수 있습니다."
투어를 비공개로 바꿀 수 있나요?,"네, 등록한 투어는 공개(노출 중)와 비공개 토글로 노출 여부를 관리할 수 있습니다."
비공개 처리하면 어떻게 되나요?,"비공개로 전환하면 해당 투어가 여행자에게 노출되지 않습니다. 노출을 재개하려면 다시 공개로 전환하시면 됩니다."
투어를 삭제하고 싶어요,"투어 삭제 기능은 현재 제공되지 않습니다. 노출을 중단하시려면 해당 투어를 비공개로 처리해 주세요."
투어 삭제 버튼이 없어요,"네, 현재 투어 삭제 기능은 없으며 비공개 처리로 노출을 중단하실 수 있습니다."
투어 노출을 잠시 중단하고 싶어요,"투어 관리에서 해당 투어를 비공개로 전환하면 노출이 중단됩니다. 언제든 다시 공개로 전환할 수 있습니다."
투어가 메인 페이지에 노출될 수 있나요?,"네, 등록한 투어는 메인 페이지의 추천 투어 영역에 노출될 수 있습니다."
추천 투어에 선정되는 기준이 뭔가요?,"메인 페이지 추천 투어 영역에 노출될 수 있으며 검색 결과는 지역 일치와 평점순으로 정렬됩니다. 따라서 평점 관리가 노출에 중요합니다."
검색 결과 순위는 어떻게 정해지나요?,"검색 결과는 지역 일치를 기준으로 평점순으로 정렬됩니다. 평점이 높을수록 상단에 노출되어 예약에 유리합니다."
내 투어가 검색에 잘 노출되게 하려면 어떻게 하나요?,"검색은 지역 일치와 평점순으로 정렬되므로 지역 정보를 정확히 입력하고 좋은 리뷰로 평점을 관리하는 것이 중요합니다."
투어 가격은 프로필 기본 요금과 같아야 하나요?,"아니요, 투어 가격은 프로필 기본 요금과 별개로 투어마다 자유롭게 설정할 수 있습니다."
투어마다 가격을 다르게 설정해도 되나요?,"네, 투어 가격은 투어별로 자유롭게 다르게 설정하실 수 있습니다."
투어 등록에 비용이 드나요?,"아니요, 투어 등록은 무료입니다. 수수료는 예약이 성사된 경우에만 발생합니다."
등록한 투어 목록은 어디서 보나요?,"가이드 메뉴의 투어 관리에서 등록한 투어 목록을 확인하고 수정·공개 설정을 관리할 수 있습니다."
투어 설명은 어떤 내용을 넣어야 하나요?,"상세 설명 항목에 투어 코스와 내용 등을 자유롭게 입력하시면 됩니다. 투어 정보는 항상 최신 상태로 유지해 주세요."
투어 정보를 바꾸면 어떻게 반영되나요?,"투어 관리에서 해당 투어를 선택해 수정하시면 됩니다. 투어 정보는 항상 최신으로 유지하는 것이 운영 규칙입니다."
사진 업로드가 필수인가요?,"투어 사진은 여러 장 업로드할 수 있는 항목입니다. 여행자가 투어를 선택할 때 중요한 정보이므로 등록을 권장드립니다."
공개와 비공개는 어떻게 전환하나요?,"투어 관리에서 해당 투어의 공개/비공개 토글을 사용해 노출 여부를 전환할 수 있습니다."
투어 지역은 어떻게 입력하나요?,"투어 등록 시 투어가 진행되는 지역을 입력합니다. 검색이 지역 일치 기준으로 이루어지므로 정확하게 입력해 주세요."
한 투어에 여러 지역을 넣을 수 있나요?,"투어 등록 시 지역 항목에 투어가 진행되는 지역을 입력하게 됩니다. 검색 노출이 지역 일치 기준이므로 대표 지역을 정확히 입력해 주세요."
투어 소요 시간을 분 단위로 설정할 수 있나요?,"소요 시간은 시간 단위로 입력하도록 되어 있어 분 단위 설정은 지원되지 않습니다."
가격을 달러로 표시할 수 있나요?,"투어 가격은 원화 정수로 입력합니다. 외화 표시 기능은 현재 지원되지 않습니다."
최대 인원 기본값이 왜 4명인가요?,"최대 인원의 기본값은 4명으로 설정되어 있으며 투어 등록 시 자유롭게 변경하실 수 있습니다."
투어 등록 후 승인 심사가 있나요?,"별도의 승인 심사 절차는 안내되어 있지 않으며 등록한 투어는 공개로 설정하면 노출됩니다. 다만 허위 정보 기재 시 상품 비노출과 계정 심사 대상이 될 수 있습니다."
시즌별로 투어 가격을 바꿀 수 있나요?,"네, 투어 관리에서 해당 투어를 수정해 가격을 언제든 변경할 수 있습니다."
투어 임시저장 기능이 있나요?,"임시저장 기능은 현재 지원되지 않습니다. 등록 후 비공개 상태로 두고 내용을 보완하는 방법을 활용해 보세요."
투어 복사 기능이 있나요?,"투어 복사 기능은 현재 지원되지 않습니다. 새 투어 등록을 통해 별도로 등록해 주시고 불편 사항은 고객센터(support@guidematch.com)로 문의해 주세요."
성수기에만 투어를 운영하고 싶어요,"비수기에는 투어를 비공개로 전환하거나 일정 관리에서 휴무일을 설정해 운영 기간을 조절하실 수 있습니다."
영어를 못해도 가이드 활동이 가능한가요?,"네, 한국어로 입력한 프로필 자기소개와 투어 정보는 영어 번역본이 자동 생성되어 외국인 여행자에게 영어로 노출됩니다. 플랫폼은 한국어와 영어를 지원합니다."
투어 설명 자동 번역은 어떻게 되나요?,"투어를 한국어로만 입력해도 제목, 설명, 지역, 포함 항목의 영어 번역본이 자동 생성되어 저장됩니다. 등록 화면에서 번역 미리보기도 제공됩니다."
어떤 항목이 자동 번역되나요?,"투어의 제목, 상세 설명, 지역, 포함 항목이 자동 번역되며 프로필 자기소개도 영어 번역본이 자동 저장됩니다."
자기소개도 자동 번역되나요?,"네, 자기소개를 한국어로 입력하면 영어 번역본이 자동 저장되어 외국인 여행자에게 영어로 노출됩니다."
번역 미리보기를 볼 수 있나요?,"네, 투어 등록 화면에서 자동 생성된 영어 번역의 미리보기를 확인할 수 있습니다."
자동 번역된 영어를 직접 고칠 수 있나요?,"번역본 직접 수정 기능은 현재 지원되지 않습니다. 번역 관련 문의는 고객센터(support@guidematch.com)로 연락해 주세요."
투어 정보를 영어로 직접 입력해도 되나요?,"한국어로 입력하시면 영어 번역본이 자동 생성되어 저장되므로 별도로 영어를 입력하실 필요가 없습니다."
일본어나 중국어도 지원하나요?,"현재 플랫폼 지원 언어는 한국어와 영어입니다. 다른 언어는 아직 지원되지 않습니다."
플랫폼 지원 언어는 무엇인가요?,"GuideMatch는 한국어와 영어를 지원합니다. 한국어로 입력한 투어와 프로필 정보는 영어로 자동 번역되어 노출됩니다."
외국인 여행자에게 내 프로필이 어떻게 보이나요?,"한국어로 작성한 자기소개와 투어 정보는 자동 저장된 영어 번역본으로 외국인 여행자에게 노출됩니다."
자동 번역 품질이 걱정돼요,"투어 등록 화면에서 번역 미리보기로 영어 번역을 미리 확인할 수 있습니다. 번역에 문제가 있다면 고객센터(support@guidematch.com)로 문의해 주세요."
번역에 추가 비용이 드나요?,"자동 번역은 투어 등록과 프로필 작성 시 기본으로 제공되는 기능으로 별도 비용 안내가 없습니다."
영어 번역은 언제 생성되나요?,"투어나 자기소개를 한국어로 입력하면 영어 번역본이 자동으로 생성되어 저장됩니다. 투어 등록 화면에서는 미리보기도 제공됩니다."
한국어 내용을 수정하면 번역도 갱신되나요?,"투어 정보를 한국어로 입력하면 영어 번역본이 자동 생성되어 저장되는 방식입니다. 수정 후 번역 반영에 문제가 있다면 고객센터로 문의해 주세요."
영어 번역본은 어디에 노출되나요?,"자동 생성된 영어 번역본은 외국인 여행자가 보는 화면에서 투어와 프로필 정보로 노출됩니다."
새 예약 요청은 어디서 확인하나요?,"새 예약 요청은 가이드 대시보드에 표시됩니다. 대시보드에서 대기 중 요청 통계와 요청 목록을 확인하실 수 있습니다."
예약 요청이 오면 알림이 오나요?,"이메일이나 푸시 알림 기능은 현재 제공되지 않습니다. 대시보드에서 새 예약 요청을 직접 확인해 주시기를 권장드립니다."
예약 상세에서 무엇을 볼 수 있나요?,"여행자 이름과 사진, 투어 시작일부터 종료일까지의 일정, 인원, 예상 결제 금액, 요청 일시를 확인할 수 있습니다."
예약을 수락하려면 어떻게 하나요?,"대시보드의 예약 요청에서 수락을 선택하면 예약이 확정(confirmed) 상태가 됩니다. 수락 전 본인 일정과 겹치지 않는지 꼭 확인해 주세요."
예약 요청을 거절할 수 있나요?,"네, 거절을 선택하면 해당 예약은 거절(declined) 상태로 처리됩니다."
예약을 거절하면 불이익이 있나요?,"예약 요청 단계의 거절에 대한 제재는 안내되어 있지 않습니다. 다만 확정된 예약을 가이드가 취소하는 일이 반복되면 제재 대상이 되므로 수락 전 일정을 신중히 확인해 주세요."
수락하면 바로 예약 확정인가요?,"수락 시 예약은 확정(confirmed) 상태가 되며 여행자가 결제를 완료하면 결제 완료(paid) 상태로 변경됩니다."
수락 후 여행자가 결제를 안 하면 어떻게 되나요?,"수락 후 여행자가 24시간 안에 결제하지 않으면 해당 예약은 자동으로 취소됩니다."
여행자의 결제 완료는 어떻게 확인하나요?,"여행자가 결제를 마치면 예약 상태가 결제 완료(paid)로 변경됩니다. 예약 상세에서 상태를 확인하실 수 있습니다."
예약 요청에 답변 기한이 있나요?,"별도의 응답 기한은 안내되어 있지 않습니다. 다만 여행자 경험을 위해 가급적 빠르게 수락 또는 거절로 응답해 주시는 것이 좋습니다."
일정이 겹치는 예약 요청이 들어오면 어떻게 하나요?,"수락 전 본인 일정과 겹치지 않는지 확인할 책임은 가이드에게 있습니다. 일정 관리 캘린더를 확인한 뒤 겹치는 요청은 거절해 주세요."
더블부킹을 막으려면 어떻게 해야 하나요?,"예약 수락 전 일정 관리 캘린더에서 예약됨과 휴무와 가능 상태를 확인해 주세요. 캘린더에서 예약과 휴무 충돌도 시각화되어 표시됩니다."
예약 수락 전에 무엇을 확인해야 하나요?,"여행자 정보, 일정, 인원, 예상 결제 금액을 확인하고 본인 일정과 겹치지 않는지 일정 관리 캘린더로 점검해 주세요. 일정 확인 책임은 가이드에게 있습니다."
여행자 정보는 어디까지 볼 수 있나요?,"예약 상세에서 여행자의 이름과 사진, 일정, 인원, 예상 결제 금액, 요청 일시를 확인할 수 있습니다."
여행자 연락처를 알 수 있나요?,"연락처 교환을 통한 외부 거래 유도는 금지되어 있습니다. 여행자와의 소통은 사이트 내 1:1 메시지를 이용해 주세요."
예약 인원은 어디서 확인하나요?,"예약 상세 화면에서 인원 정보를 확인할 수 있습니다."
예상 결제 금액은 어디서 보나요?,"예약 상세 화면에서 해당 예약의 예상 결제 금액을 확인할 수 있습니다."
예약 날짜를 변경하고 싶어요,"예약 일정 변경 기능은 별도로 제공되지 않습니다. 여행자와 플랫폼 메시지로 협의해 기록을 남기시고 처리 방법은 고객센터(support@guidematch.com)로 문의해 주세요."
수락한 예약을 취소하면 어떻게 되나요?,"가이드가 확정 예약을 취소하면 여행자에게 전액 환불되며 취소가 반복되면 제재 대상이 됩니다."
예약 요청을 깜빡하고 못 봤어요,"현재 예약 요청 알림 기능이 없으므로 대시보드를 수시로 확인해 주시기를 권장드립니다."
대기 중인 요청은 어디서 보나요?,"가이드 대시보드에서 대기 중 요청 통계와 새 예약 요청 목록을 확인할 수 있습니다."
예약 상태에는 어떤 종류가 있나요?,"수락하면 확정(confirmed), 거절하면 거절(declined) 상태가 되며 여행자가 결제를 완료하면 결제 완료(paid)로 변경됩니다. 수락 후 24시간 내 미결제 시 자동 취소됩니다."
여행자와 협의한 내용은 어떻게 남기나요?,"예약 관련 협의는 플랫폼 메시지로 진행해 기록을 남겨 주세요. 합의 사항을 메시지로 남겨 두면 추후 확인할 근거가 됩니다."
예약 요청이 들어온 시간을 확인할 수 있나요?,"네, 예약 상세에서 요청 일시를 확인하실 수 있습니다."
단체 예약도 받을 수 있나요?,"투어 등록 시 설정한 최대 인원 범위 내에서 예약을 받을 수 있습니다. 최대 인원은 투어 수정에서 변경 가능합니다."
수락 후 마음이 바뀌면 취소할 수 있나요?,"가이드가 확정 예약을 취소하면 여행자에게 전액 환불되며 반복 시 제재 대상이 됩니다. 부득이한 경우가 아니라면 신중하게 수락해 주세요."
확정된 예약은 캘린더에 표시되나요?,"네, 일정 관리 캘린더에 예약됨 상태로 표시되며 휴무와의 충돌도 시각화되어 확인할 수 있습니다."
예약 수락 버튼은 어디에 있나요?,"대시보드의 새 예약 요청 목록에서 해당 예약 상세로 들어가 수락 또는 거절을 선택하실 수 있습니다."
여행자는 어떤 수단으로 결제하나요?,"여행자는 토스페이먼츠 또는 PayPal로 플랫폼에 결제합니다. 투어 완료 후 수수료를 공제한 금액이 가이드에게 정산됩니다."
결제 금액은 누가 받나요?,"결제 대금은 여행자가 플랫폼에 결제하며 투어 완료 후 플랫폼 수수료 등 공제 항목을 제외한 금액이 가이드에게 정산됩니다."
예약이 자동 취소되는 경우가 있나요?,"네, 가이드가 수락한 뒤 여행자가 24시간 안에 결제하지 않으면 예약이 자동 취소됩니다."
자동 취소된 예약은 다시 받을 수 있나요?,"여행자가 다시 예약 요청을 보내면 새 요청으로 수락하실 수 있습니다."
예약 거절 사유를 입력해야 하나요?,"별도의 거절 사유 입력 절차는 안내되어 있지 않습니다. 필요하다면 플랫폼 메시지로 여행자에게 양해를 구해 주세요."
여러 예약 요청이 동시에 오면 어떻게 처리하나요?,"일정 관리 캘린더로 일정 충돌 여부를 확인한 뒤 진행 가능한 요청만 수락하고 겹치는 요청은 거절해 주세요. 일정 확인 책임은 가이드에게 있습니다."
예약 확정 후 여행자와 어떻게 연락하나요?,"예약 상세의 메시지 버튼이나 메시지 메뉴에서 사이트 내 1:1 메시지로 대화하실 수 있습니다. 외부 연락처 교환은 금지되어 있습니다."
투어 시작 전 준비사항을 여행자에게 안내하고 싶어요,"플랫폼 메시지로 일정, 집합 장소, 준비물 등을 안내해 주세요. 합의 사항은 메시지로 기록을 남기는 것이 좋습니다."
예약 수수료는 언제 부과되나요?,"수수료는 예약이 성사된 경우에만 발생하며 정산 시 등급별 수수료율로 공제됩니다."
예약 요청이 안 들어와요 어떻게 해야 하나요?,"투어가 공개 상태인지, 활동 지역과 투어 지역이 정확한지 확인해 주세요. 검색 결과는 지역 일치와 평점순으로 정렬되므로 평점 관리도 중요합니다."
다가오는 투어 일정은 어디서 보나요?,"가이드 대시보드에서 다가오는 투어 일정을 확인할 수 있으며 일정 관리 캘린더에서도 예약 상태를 볼 수 있습니다."
확정 수익은 어디서 확인하나요?,"가이드 대시보드에서 확정 수익, 예약 수, 대기 중 요청 통계를 확인하실 수 있습니다."
휴무일은 어떻게 설정하나요?,"일정 관리 캘린더에서 휴무일을 날짜 범위로 설정하실 수 있습니다. 설정한 휴무는 캘린더에 휴무 상태로 표시됩니다."
휴무를 날짜 범위로 지정할 수 있나요?,"네, 일정 관리 캘린더에서 시작일과 종료일을 정해 날짜 범위로 휴무를 설정하고 해제할 수 있습니다."
휴무 설정을 해제하려면 어떻게 하나요?,"일정 관리 캘린더에서 설정했던 휴무 날짜 범위를 선택해 해제하시면 됩니다."
캘린더에는 어떤 상태가 표시되나요?,"일정 관리 캘린더에는 예약됨, 휴무, 가능 상태가 표시되며 예약과 휴무가 겹치는 경우 충돌이 시각화됩니다."
예약과 휴무가 겹치면 어떻게 보이나요?,"일정 관리 캘린더에서 예약과 휴무의 충돌이 시각적으로 표시됩니다. 충돌이 보이면 일정을 조정해 주세요."
일정 관리 메뉴는 어디에 있나요?,"가이드 메뉴에서 일정 관리를 선택하면 캘린더에서 예약과 휴무를 확인하고 설정할 수 있습니다."
특정 요일만 반복 휴무로 설정할 수 있나요?,"요일별 반복 휴무 기능은 현재 지원되지 않으며 휴무는 날짜 범위로 설정합니다. 불편 사항은 고객센터(support@guidematch.com)로 문의해 주세요."
휴무일에도 예약 요청이 들어오나요?,"휴무 설정은 캘린더에 상태로 표시되며 예약 수락 전 일정 확인 책임은 가이드에게 있습니다. 휴무와 겹치는 요청이 들어오면 거절해 주세요."
장기 휴가를 가려고 하는데 어떻게 하나요?,"일정 관리 캘린더에서 휴가 기간을 날짜 범위 휴무로 설정해 주세요. 노출 자체를 중단하고 싶다면 투어를 비공개로 전환하는 방법도 있습니다."
캘린더에서 예약 확인이 가능한가요?,"네, 일정 관리 캘린더에 예약됨 상태가 표시되어 예약 일정을 한눈에 확인할 수 있습니다."
